spatial_resolution [arcsec],integration_time [s],velocity_resolution [Km/s],J2000 coordinates,frequency_resolution [MHz]
3.6679341442375777,48.384,1.0043269065448384,J2000 14h33m20.16s -60d16m18.84s,0.294
3.434241680109825,36.288,1.0043258396502177,J2000 16h38m50.42400001s -46d45m31.32000002s,0.294
3.6679341442375777,48.384,1.0043269065448384,J2000 14h33m20.16s -60d16m18.84s,0.294
3.434241680109825,36.288,1.0043258396502177,J2000 16h38m50.42400001s -46d45m31.32000002s,0.294
3.6679341442375777,48.384,1.0043269065448384,J2000 14h33m20.16s -60d16m18.84s,0.294
3.434241680109825,36.288,1.0043258396502177,J2000 16h38m50.42400001s -46d45m31.32000002s,0.294
3.652578889010632,48.384,1.0043269065448384,J2000 14h30m18.48s -60d16m28.2s,0.294
3.434241680109825,36.288,1.0043258396502177,J2000 16h38m50.42400001s -46d45m31.32000002s,0.294
3.652578889010632,48.384,1.0043269065448384,J2000 14h30m18.48s -60d16m28.2s,0.294
3.652578889010632,48.384,1.0043269065448384,J2000 14h30m18.48s -60d16m28.2s,0.294
1.1365479387976964,145.152,0.1660561337720663,J2000 07h27m42.82000001s -20d33m22.00000001s,0.122
3.1720325158892257,48.384,1.0043360006367437,J2000 14h42m18.792s -55d35m49.2s,0.294
1.1365479387976964,145.152,0.1660561337720663,J2000 07h27m42.82000001s -20d33m22.00000001s,0.122
3.1720325158892257,48.384,1.0043360006367437,J2000 14h42m18.792s -55d35m49.2s,0.294
1.1365479387976964,145.152,0.1660561337720663,J2000 07h27m42.82000001s -20d33m22.00000001s,0.122
3.2423132665145804,36.288,1.0043474041072444,J2000 16h40m40.82400001s -47d01m11.28000008s,0.294
0.6301009813811581,104.832,35.16429976734815,J2000 10h02m38.05s +02d19m04.29s,31.25
3.2423132665145804,36.288,1.0043474041072444,J2000 16h40m40.82400001s -47d01m11.28000008s,0.294
3.2423132665145804,36.288,1.0043474041072444,J2000 16h40m40.82400001s -47d01m11.28000008s,0.294
3.2423132665145804,36.288,1.0043474041072444,J2000 16h40m40.82400001s -47d01m11.28000008s,0.294
0.6276655329592166,104.832,35.16429976734815,J2000 10h01m33.49s +02d15m21.06s,31.25
0.6276655329592166,104.832,35.16429976734815,J2000 10h01m33.49s +02d15m21.06s,31.25
3.284664921575948,42.336,1.0043234240068533,J2000 13h12m26.112s -60d42m48.6s,0.294
3.3161298778367407,42.336,1.0043234240068533,J2000 13h10m52.32s -61d51m24.12s,0.294
